,player_id,pts,reb,ast,blk,stl,fg%,ft%,fg3m,min,tov
145,203954,21.82,9.27,2.71,1.46,0.82,0.48,0.79,0.42,35.81,2.52
146,203089,7.99,7.38,0.94,1.36,0.68,0.53,0.56,0.0,25.51,1.18
147,202322,18.24,3.85,8.81,0.29,1.39,0.45,0.8,1.1,36.6,3.09
148,201973,6.72,3.12,1.04,0.34,0.42,0.43,0.79,0.89,19.5,0.68
149,202685,10.11,7.21,1.09,1.04,0.52,0.51,0.72,0.07,24.04,1.27
150,203613,14.97,3.33,2.88,0.24,0.89,0.44,0.82,1.11,31.97,1.85
151,203903,13.16,2.45,3.28,0.12,0.78,0.43,0.81,1.26,26.89,1.63
152,101181,6.44,1.69,2.66,0.11,0.64,0.42,0.81,0.74,17.61,1.2
153,1626196,11.58,3.27,2.58,0.27,1.03,0.45,0.77,1.18,27.88,1.15
154,201950,16.8,4.21,5.62,0.35,1.34,0.46,0.81,1.29,34.69,2.46
155,1627823,3.71,1.84,0.54,0.16,0.34,0.42,0.74,0.51,11.67,0.45
156,203944,14.28,6.27,1.94,0.6,0.68,0.48,0.74,0.09,30.87,2.1
157,1626147,6.41,2.74,0.79,0.31,0.49,0.41,0.77,0.88,17.18,0.61
158,203200,11.77,3.68,2.47,0.29,1.31,0.41,0.79,1.67,31.31,1.45
159,1626159,10.12,3.65,2.17,0.42,0.71,0.45,0.76,0.97,24.02,1.27
160,203994,12.35,7.55,1.51,1.46,0.74,0.5,0.71,0.0,28.1,1.48
161,1626157,19.36,9.25,2.79,1.14,1.0,0.48,0.75,1.08,35.48,2.03
162,203482,12.07,4.99,1.75,0.35,0.81,0.45,0.8,1.17,27.3,1.44
163,1626162,11.8,4.41,1.82,0.46,0.93,0.43,0.78,1.46,27.63,1.2
164,202689,21.47,3.92,5.26,0.25,1.01,0.44,0.86,2.34,35.59,2.32
165,202702,6.71,5.12,0.72,0.6,0.5,0.48,0.69,0.0,19.25,1.08
166,203145,10.47,3.1,3.09,0.34,1.22,0.41,0.78,0.83,28.34,1.66
167,203484,12.16,4.03,2.48,0.31,1.4,0.42,0.77,1.57,30.37,1.45
168,201142,25.89,6.46,5.29,0.9,1.09,0.47,0.86,2.18,36.27,2.82
169,201567,16.01,8.32,1.84,0.61,0.75,0.45,0.83,1.68,31.07,1.63
170,1626172,4.01,3.13,0.62,0.73,0.4,0.51,0.6,0.09,13.55,0.52
171,203114,19.52,4.64,4.82,0.39,1.35,0.45,0.82,1.66,35.61,2.25
172,202691,18.06,3.57,2.53,0.4,0.87,0.45,0.84,2.49,32.8,1.58
173,201585,5.57,5.05,0.86,0.59,0.47,0.51,0.64,0.06,17.84,0.75
174,1627739,13.9,3.36,6.07,0.36,1.35,0.45,0.82,0.95,30.54,2.14
175,203937,8.11,4.44,1.96,0.48,1.16,0.43,0.71,0.29,24.84,1.22
176,2594,7.28,2.27,1.4,0.16,0.51,0.42,0.86,1.34,20.09,0.75
177,200768,13.74,3.67,5.22,0.17,1.05,0.41,0.81,1.56,33.14,2.04
178,203124,7.23,6.19,1.2,1.29,0.59,0.49,0.68,0.03,22.08,1.27
179,202681,20.8,3.93,5.2,0.24,1.05,0.45,0.84,2.01,35.38,2.24
